Time (hr),Year,Month,Day,Hour,Temperature (K),Direct Flux (W/m2),Clear Direct Flux (W/m2),Zenith (deg from up),Azimuth (deg from north cw)
122.0,2019.0,3.0,12.0,2.0,275.0,0.0,0.0,142.77416893163124,9.739681688808645
123.0,2019.0,3.0,12.0,3.0,274.4833333333333,0.0,0.0,138.59230365680145,32.55405825324013
124.0,2019.0,3.0,12.0,4.0,274.1944444444444,0.0,0.0,130.9383951123208,50.77680506128047
125.0,2019.0,3.0,12.0,5.0,273.0222222222222,0.0,0.0,121.2235185003714,64.93711733086077
126.0,2019.0,3.0,12.0,6.0,272.9833333333333,0.0,0.0,110.40969546333024,76.48103646693659
127.0,2019.0,3.0,12.0,7.0,273.45,3.56,0.0,99.0824584379696,86.63440923465741
128.0,2019.0,3.0,12.0,8.0,277.2,118.37,38.072496401812614,87.37991306469996,96.32720064440899
129.0,2019.0,3.0,12.0,9.0,278.6722222222222,178.0,609.9739727469979,76.3407907719191,106.3539619325813
130.0,2019.0,3.0,12.0,10.0,279.7222222222222,207.37,809.6129023914159,65.74224249991754,117.53376377961519
131.0,2019.0,3.0,12.0,11.0,280.9111111111111,292.81,894.4154391548216,56.262170993114474,130.81444449967984
132.0,2019.0,3.0,12.0,12.0,281.75,369.35,935.373214901432,48.7208405381546,147.17413095151554
133.0,2019.0,3.0,12.0,13.0,282.1722222222222,381.81,953.2605029676128,44.21837534278478,166.93848390425245
134.0,2019.0,3.0,12.0,14.0,282.5,335.53,954.9098776464732,43.74876960787748,188.55921832938964
135.0,2019.0,3.0,12.0,15.0,282.7222222222222,304.38,940.8925518970037,47.435078142399995,208.94363678722175
136.0,2019.0,3.0,12.0,16.0,282.7833333333333,302.6,906.0603739780569,54.40980174935655,226.07005670490258
137.0,2019.0,3.0,12.0,17.0,282.7111111111111,211.82,834.1141920025251,63.54151057688793,239.95442643667818
138.0,2019.0,3.0,12.0,18.0,281.7222222222222,93.45,670.3862180278894,73.94289405622311,251.52039080518455
139.0,2019.0,3.0,12.0,19.0,281.0833333333333,5.34,196.92823745901745,84.95857177837823,261.744663142229
140.0,2019.0,3.0,12.0,20.0,280.2944444444444,0.0,0.0,96.52945098207488,271.4702366500312
141.0,2019.0,3.0,12.0,21.0,279.45,0.0,0.0,107.88576672204073,281.4858948129991
142.0,2019.0,3.0,12.0,22.0,278.76111111111106,0.0,0.0,118.81338730084894,292.6770489808939
143.0,2019.0,3.0,12.0,23.0,277.7444444444444,0.0,0.0,128.77743262723783,306.1885362321867
144.0,2019.0,3.0,13.0,0.0,277.45,0.0,0.0,136.9101106034257,323.43036733156464
145.0,2019.0,3.0,13.0,1.0,277.04999999999995,0.0,0.0,141.8888165775615,345.2540194060098
146.0,2019.0,3.0,13.0,2.0,276.4,0.0,0.0,142.3751165749646,9.764878035423578
147.0,2019.0,3.0,13.0,3.0,275.5,0.0,0.0,138.2058107189715,32.402485230906876
148.0,2019.0,3.0,13.0,4.0,274.3722222222222,0.0,0.0,130.58124879939152,50.540718906640535
149.0,2019.0,3.0,13.0,5.0,272.0444444444444,0.0,0.0,120.89281254846209,64.67558851993297
150.0,2019.0,3.0,13.0,6.0,270.9722222222222,0.0,0.0,110.09626415311335,76.21702953923143
151.0,2019.0,3.0,13.0,7.0,270.1722222222222,2.67,0.0,98.77670693222994,86.37409579533171
152.0,2019.0,3.0,13.0,8.0,270.18333333333334,109.47,53.05716376600495,87.08913728096927,96.07125664496293
153.0,2019.0,3.0,13.0,9.0,270.54999999999995,270.56,617.0412299938278,76.02542136752334,106.10330392845457
154.0,2019.0,3.0,13.0,10.0,271.18333333333334,389.82,811.7149334300256,65.40781214301472,117.29450725683625
155.0,2019.0,3.0,13.0,11.0,271.5833333333333,493.06,895.011014132314,55.902426290990086,130.60554550781683
156.0,2019.0,3.0,13.0,12.0,271.6111111111111,469.03,935.3669348763813,48.334708461913536,147.037705653544
157.0,2019.0,3.0,13.0,13.0,271.8611111111111,403.17,952.9926827149321,43.81888412198668,166.93612943636873
158.0,2019.0,3.0,13.0,14.0,272.4111111111111,404.06,954.5585374256365,43.365332859833636,188.72215721939946
159.0,2019.0,3.0,13.0,15.0,272.79999999999995,383.59,940.6028824753292,47.094584413991136,209.22830082686346
160.0,2019.0,3.0,13.0,16.0,273.1222222222222,319.51,906.038518056546,54.11882203442148,226.40742083706436
161.0,2019.0,3.0,13.0,17.0,273.09999999999997,221.61,834.8335311252031,63.291659878276654,240.30306940262335
162.0,2019.0,3.0,13.0,18.0,272.9111111111111,112.14,673.4823466413284,73.72168407368454,251.86657210348307
163.0,2019.0,3.0,13.0,19.0,272.59444444444443,10.68,209.4997580033178,84.75720833274568,262.08851750814785
164.0,2019.0,3.0,13.0,20.0,272.6944444444444,0.0,0.0,96.32700418966536,271.81730822792986
165.0,2019.0,3.0,13.0,21.0,272.79999999999995,0.0,0.0,107.67523986060282,281.8430013098805
166.0,2019.0,3.0,13.0,22.0,272.9222222222222,0.0,0.0,118.58141026323611,293.04850141650456
167.0,2019.0,3.0,13.0,23.0,272.9611111111111,0.0,0.0,128.50855794687766,306.56770264625743
168.0,2019.0,3.0,14.0,0.0,272.93333333333334,0.0,0.0,136.5896278371422,323.7797558831859
169.0,2019.0,3.0,14.0,1.0,272.9,0.0,0.0,141.51515473017935,345.48458231210816
170.0,2019.0,3.0,14.0,2.0,272.8333333333333,0.0,0.0,141.97537215058207,9.79155749257265
171.0,2019.0,3.0,14.0,3.0,272.7444444444444,0.0,0.0,137.81812844116513,32.25458961751221
172.0,2019.0,3.0,14.0,4.0,272.5722222222222,0.0,0.0,130.2224655729816,50.30808259805832
173.0,2019.0,3.0,14.0,5.0,272.5,0.0,0.0,120.56034418287274,64.41651145291374
174.0,2019.0,3.0,14.0,6.0,272.4222222222222,0.0,0.0,109.78116911991305,75.95457420675716
175.0,2019.0,3.0,14.0,7.0,272.34444444444443,4.45,0.0,98.46949588535159,86.11464301181086
176.0,2019.0,3.0,14.0,8.0,272.9111111111111,117.48,69.76984737760955,86.79548525045534,95.81561798897125
177.0,2019.0,3.0,14.0,9.0,273.5,235.85,623.8516209383046,75.70900243022757,105.8524556022557
178.0,2019.0,3.0,14.0,10.0,273.9722222222222,339.98,813.7322484808346,65.07254431041031,117.0546063392141
179.0,2019.0,3.0,14.0,11.0,274.34999999999997,387.15,895.559962950216,55.541916519519866,130.39574369545235
180.0,2019.0,3.0,14.0,12.0,274.5833333333333,391.6,935.3260760800523,47.947783423477894,146.90087687853324
181.0,2019.0,3.0,14.0,13.0,274.8222222222222,373.8,952.6944241836464,43.41870814858596,166.9353869727794
182.0,2019.0,3.0,14.0,14.0,275.0611111111111,364.9,954.1771820120222,42.98180465568558,188.8892926763188
183.0,2019.0,3.0,14.0,15.0,275.2722222222222,333.75,940.2805271570345,46.75482906834248,209.51792385229194
184.0,2019.0,3.0,14.0,16.0,275.3833333333333,265.22,905.9764692114023,53.82908366127694,226.748845638151
185.0,2019.0,3.0,14.0,17.0,275.4611111111111,232.29,835.4926385561356,63.043126140126056,240.65460519437067
186.0,2019.0,3.0,14.0,18.0,274.6611111111111,177.11,676.4469210410377,73.50158650158963,252.2147475612027
187.0,2019.0,3.0,14.0,19.0,273.14444444444445,17.8,221.7895846054942,84.55636246848817,262.4337288539281
188.0,2019.0,3.0,14.0,20.0,272.59999999999997,0.0,0.0,96.12496265741905,272.1652343874012
189.0,2019.0,3.0,14.0,21.0,272.3333333333333,0.0,0.0,107.46467758357367,282.2004561529499
190.0,2019.0,3.0,14.0,22.0,272.1333333333333,0.0,0.0,118.34895749422753,293.41963599295474
191.0,2019.0,3.0,14.0,23.0,272.01111111111106,0.0,0.0,128.23885966113,306.9455849238398
192.0,2019.0,3.0,15.0,0.0,271.84444444444443,0.0,0.0,136.26824693806137,324.12685175522415
193.0,2019.0,3.0,15.0,1.0,271.7333333333333,0.0,0.0,141.14085794024416,345.7133819948684
194.0,2019.0,3.0,15.0,2.0,271.6111111111111,0.0,0.0,141.57505270111298,9.819571644120629
195.0,2019.0,3.0,15.0,3.0,271.4444444444444,0.0,0.0,137.42940042971895,32.11023775121129
196.0,2019.0,3.0,15.0,4.0,271.2722222222222,0.0,0.0,129.86219853508726,50.078832804223794
197.0,2019.0,3.0,15.0,5.0,268.84444444444443,0.0,0.0,120.22626358297467,64.15987196166384
198.0,2019.0,3.0,15.0,6.0,268.6611111111111,0.0,0.0,109.46455528069791,75.69367809873023
199.0,2019.0,3.0,15.0,7.0,268.54999999999995,5.34,0.0,98.16096651507709,85.85606503428806
200.0,2019.0,3.0,15.0,8.0,269.4944444444444,121.04,87.76459638626339,86.49930533522044,95.5602968979918
201.0,2019.0,3.0,15.0,9.0,272.5722222222222,304.38,630.4118492800759,75.39167642565417,105.60142035102666
202.0,2019.0,3.0,15.0,10.0,275.54999999999995,512.64,815.6660964076934,64.73658028208989,116.81404696995536
203.0,2019.0,3.0,15.0,11.0,278.4111111111111,657.71,896.0628604062741,55.180781710612095,130.1849973542587
204.0,2019.0,3.0,15.0,12.0,279.7444444444444,745.82,935.2511303288895,47.56019823685594,146.76357658230435
205.0,2019.0,3.0,15.0,13.0,280.3111111111111,779.64,952.3662439641557,43.01796795046584,166.93619773939122
206.0,2019.0,3.0,15.0,14.0,280.4722222222222,755.61,953.7663953719857,42.59829649729422,189.06058926410458
207.0,2019.0,3.0,15.0,15.0,280.2222222222222,679.07,939.9261923214901,46.415909829993396,209.81243799468913
208.0,2019.0,3.0,15.0,16.0,279.6222222222222,550.91,905.8751864865483,53.540659178925694,227.09421957642422
209.0,2019.0,3.0,15.0,17.0,278.8833333333333,382.7,836.0931519671063,62.79595608027947,241.0089049581558
210.0,2019.0,3.0,15.0,18.0,277.8611111111111,188.68,679.2843691355082,73.28262929560384,252.56478695024396
211.0,2019.0,3.0,15.0,19.0,276.8111111111111,19.58,233.78123231292955,84.35607228916604,262.7801688501298
212.0,2019.0,3.0,15.0,20.0,276.1222222222222,0.0,0.0,95.92333617100097,272.5138862784222
213.0,2019.0,3.0,15.0,21.0,275.75,0.0,0.0,107.25409110118117,282.55812580318354
